TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3883.2824,113.9859,0.1488,2.5484,76.3886,0.465,0.0396,-999.25
3932.9996,90.1808,0.1386,2.3175,75.0861,0.0433,0.163,16.1761
3933.134,90.2496,0.1339,2.3209,75.4907,0.0439,0.1607,23.178
3933.2683,90.1908,0.1252,2.3115,75.988,0.0432,0.1629,27.6612
3933.4027,91.2145,0.1148,2.294,76.7096,0.0456,0.1708,74.4246
3933.537,91.7937,0.1087,2.2822,77.2636,0.0485,0.1755,134.7439
3933.6713,89.8554,0.1033,2.2703,77.7334,0.0456,0.181,75.1335
3933.8057,85.0924,0.0998,2.2606,78.2986,0.0349,0.1864,209.3905
3933.94,79.3657,0.0975,2.2594,78.7541,0.0169,0.1898,169.6496
3934.0744,80.694,0.0933,2.2628,78.7293,0.0175,0.1866,129.9088
3934.2087,84.4683,0.0919,2.2646,77.9947,0.0262,0.1835,90.8907
3934.3431,88.004,0.0953,2.2681,77.0591,0.0354,0.183,52.7281
3934.4774,90.2113,0.1029,2.2853,75.6949,0.0438,0.181,26.2016
3934.6117,94.4883,0.1101,2.3248,74.5549,0.0479,0.1714,3.5132
3934.7461,116.8746,0.1161,2.3797,73.9121,0.1041,0.1466,0.0822
3934.8804,146.8877,0.1233,2.4495,73.7237,0.2933,0.1008,0.0741
3935.0148,168.4393,0.1365,2.5348,73.8581,0.5741,0.0388,0.0659
3935.1491,175.122,0.1553,2.5867,74.1397,0.7344,0.0039,0.0578
3935.2835,175.0458,0.1667,2.6049,74.3121,0.7321,0.0001,0.0497
3935.4178,174.2762,0.165,2.6124,74.1066,0.7244,0.0001,0.0416
3935.5521,171.5704,0.1614,2.6159,73.291,0.6943,0.0001,0.0334
3935.6865,163.4661,0.1602,2.6066,72.1361,0.5935,0.0037,0.0253
3935.8208,149.6619,0.1529,2.582,70.8725,0.4282,0.0208,0.0172
3935.9552,137.8364,0.1404,2.5558,69.8995,0.299,0.0393,0.0239
3936.0895,130.0635,0.1292,2.5299,69.4544,0.2337,0.0548,0.0331
3936.2238,121.3636,0.1269,2.5063,69.2301,0.1836,0.0695,0.0423
3936.3582,113.5636,0.1338,2.4793,69.4094,0.1364,0.0838,0.2282
3936.4925,107.596,0.1386,2.4444,69.8772,0.109,0.102,0.3585
3936.6269,104.1109,0.1382,2.422,70.533,0.0917,0.1164,0.4617
3936.7612,104.2975,0.1372,2.4063,71.2744,0.087,0.125,4.6007
3936.8956,105.9977,0.1367,2.3939,71.9983,0.0949,0.1291,8.7398
3937.0299,104.198,0.1356,2.3805,72.7034,0.0922,0.1345,3.6703
3937.1642,106.1711,0.1348,2.3731,73.4028,0.0936,0.1374,11.0582
3937.2986,107.4971,0.1337,2.3724,74.1065,0.1009,0.1376,18.4461
3937.4329,102.1823,0.1308,2.3737,74.4917,0.09,0.136,33.3752
3937.5673,93.3826,0.1263,2.361,74.4989,0.0601,0.141,53.9128
3937.7016,89.0157,0.1231,2.3457,74.6561,0.043,0.1494,20.5694
3937.836,88.9769,0.1218,2.3409,75.0138,0.0401,0.154,16.3639
3937.9703,90.1322,0.1224,2.3539,75.3653,0.0423,0.1499,12.1584
3938.1046,92.6745,0.1224,2.3616,75.4231,0.0486,0.1439,100.5489
3938.239,99.136,0.1207,2.345,75.4115,0.0651,0.148,80.0963
3938.3733,104.4722,0.1213,2.3351,75.386,0.085,0.1541,44.7409
3938.5076,106.3292,0.1223,2.3441,75.1184,0.0967,0.1509,46.5536
3938.6419,104.9184,0.1196,2.3395,74.6241,0.0938,0.1501,55.9409
3938.7762,102.1081,0.1179,2.3336,74.1012,0.0843,0.1543,54.2754
3938.9105,98.4905,0.1187,2.3501,73.3663,0.0712,0.15,40.0712
3939.0448,98.1954,0.1202,2.3772,72.6386,0.0682,0.1371,26.19
3939.1791,103.4461,0.1199,2.3854,72.8052,0.0806,0.1289,19.9244
3939.3134,111.9758,0.1193,2.374,73.7728,0.112,0.1308,13.6588
3939.4477,115.9628,0.1196,2.3411,75.5575,0.1378,0.1423,7.3932
3939.582,114.739,0.1197,2.3009,77.5264,0.1357,0.1608,35.7206
3939.7163,108.9447,0.1188,2.2689,78.8685,0.1152,0.1784,121.5791
3939.8506,103.6418,0.1174,2.2551,79.4152,0.092,0.1877,174.245
3939.9849,100.0886,0.1154,2.2537,79.3039,0.0777,0.1907,135.5082
3940.1193,96.4796,0.1137,2.2597,78.651,0.0655,0.1889,125.6263
3940.2536,92.8408,0.1159,2.2658,77.7677,0.0539,0.1868,128.6115
3940.3879,90.9525,0.1188,2.2782,76.8282,0.0472,0.1845,83.3993
3940.5222,89.9222,0.1223,2.3064,76.4425,0.0416,0.1777,57.7948
3940.6565,93.478,0.1322,2.3583,76.109,0.0487,0.1587,50.8904
3940.7908,100.3148,0.1477,2.4003,76.0146,0.0661,0.135,58.8142
3940.9251,122.2109,0.1595,2.4141,75.8115,0.1377,0.1219,57.4313
3941.0594,145.9593,0.1682,2.4183,75.518,0.3261,0.1132,8.7698
3941.1937,146.7434,0.1705,2.423,74.5466,0.3901,0.1065,3.4042
3941.328,131.6649,0.1561,2.4237,73.0199,0.2728,0.1088,2.3669
3941.4623,102.8931,0.136,2.4192,71.3796,0.109,0.1157,9.1217
3941.5966,88.7875,0.1284,2.4166,70.5703,0.0392,0.1206,24.2057
3941.7309,91.5071,0.1248,2.4148,70.4745,0.043,0.1218,16.224
3941.8652,98.1531,0.1218,2.411,70.3629,0.06,0.1234,17.9564
3941.9995,109.1677,0.1222,2.4065,70.2583,0.0989,0.126,21.7265
3942.1338,116.771,0.1254,2.4086,70.202,0.1383,0.1248,25.3246
3942.2681,119.3171,0.1306,2.4206,70.0938,0.1573,0.1194,10.3829
3942.4024,117.9679,0.1347,2.4387,70.137,0.1536,0.1098,2.9199
3942.5367,115.1818,0.1317,2.4423,70.3525,0.1406,0.1049,2.9355
3942.671,109.946,0.1209,2.4285,70.7101,0.1223,0.1098,12.5876
3942.8053,101.1488,0.1113,2.4134,71.0549,0.0871,0.1179,36.6786
3942.9396,94.6437,0.1023,2.395,71.2292,0.06,0.1271,60.7697
3943.0739,92.2644,0.0974,2.3792,70.8819,0.0486,0.1373,90.3721
